#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.66006     1.66006           0
           2     1.63102     1.64554   0.0102669
           3     1.66472     1.65194  0.00860784
           4     1.66292     1.65468  0.00687967
           5     1.65583     1.65491  0.00550756
           6     1.65899     1.65559  0.00463141
           7     1.67235     1.65798  0.00454683
           8     1.67688     1.66035   0.0045505
           9     1.65844     1.66013  0.00404981
          10     1.68771     1.66289  0.00448658
          11     1.65044     1.66176    0.004219
          12     1.65451     1.66116  0.00391047
          13     1.65904     1.66099  0.00361305
          14      1.6732     1.66187  0.00345863
          15     1.64854     1.66098  0.00334021
          16     1.67076     1.66159  0.00318694
          17     1.67032      1.6621  0.00304058
          18     1.67584     1.66287  0.00296584
          19     1.66121     1.66278  0.00281102
          20     1.66027     1.66265  0.00267326
